"id","rated","turns","victory_status","winner","increment_code","white_rating","black_rating","opening_eco","opening_name","opening_ply","base_minutes"
"oWFQ8mnz","TRUE",50,"resign","white","15+5",1589,1547,"A40","Horwitz Defense",2,15
"Mi1AmkiI","TRUE",47,"resign","black","15+5",1579,2105,"D02","Queen's Pawn Game: London System",5,15
"7kK30TmL","TRUE",64,"mate","black","15+5",1768,1560,"C00","French Defense: La Bourdonnais Variation",3,15
"ThCXomTn","TRUE",61,"resign","white","15+5",1552,1436,"D00","Queen's Pawn Game: Mason Attack",3,15
"4dH72B3d","TRUE",57,"mate","white","15+5",1536,1667,"D02","Queen's Pawn Game: London System",5,15
"4jRtIZTy","TRUE",51,"resign","white","15+5",1521,1549,"A10","English Opening: Anglo-Lithuanian Variation",2,15
"wNK2HdLb","TRUE",58,"mate","black","15+5",1251,1545,"A00","Crab Opening",3,15
"d62Tg4dc","TRUE",71,"resign","white","15+5",1537,1408,"D00","Queen's Pawn Game: Mason Attack",3,15
"TaSQfvww","TRUE",114,"resign","white","15+5",1522,1512,"A40","Queen's Pawn",1,15
"Xwpzq87m","TRUE",39,"resign","white","15+5",1602,1532,"C18","French Defense: Winawer Variation |  Advance Variation #2",11,15
"AHmgnsKz","TRUE",20,"resign","black","15+5",1543,1593,"D02","Queen's Pawn Game: London System",5,15
"mEAvshF2","TRUE",34,"mate","black","20+10",1409,1548,"C00","French Defense: Knight Variation",3,20
"ySsVdRfw","TRUE",51,"resign","white","20+10",1539,1418,"D02","Queen's Pawn Game: London System",5,20
"ylLqmXwb","TRUE",69,"resign","white","20+10",1603,1550,"C00","French Defense: Queen's Knight",3,20
"8mceLIXN","TRUE",28,"resign","white","20+10",1542,1399,"D00","Queen's Pawn Game: Steinitz Countergambit",4,20
"YmJpuJkM","TRUE",62,"resign","black","20+10",1546,1877,"D02","Queen's Pawn Game: London System",5,20
"PNNfempy","TRUE",62,"mate","black","20+10",1134,1535,"A47","Queen's Indian Defense",4,20
"TVfozmF5","TRUE",85,"mate","white","20+10",1513,1784,"A40","Horwitz Defense",2,20
"4LX77G3m","TRUE",38,"resign","white","20+10",1501,1445,"D02","Queen's Pawn Game: London System",5,20
"h1unxHlo","TRUE",113,"draw","draw","15+0",1745,1714,"D06","Queen's Gambit Refused: Marshall Defense",4,15
"OIyTAHCP","TRUE",62,"resign","white","15+0",1734,1748,"D06","Queen's Gambit Refused: Marshall Defense",4,15
"bnCnIJSz","TRUE",101,"resign","white","10+0",1942,1739,"C10","French Defense: Marshall Variation",6,10
"ZzWyY1f8","TRUE",75,"outoftime","white","10+0",1724,1855,"C45","Scotch Game",7,10
"mkKSL3Ev","TRUE",135,"mate","white","10+0",1951,1729,"C02","French Defense: Advance Variation |  Main Line",11,10
"aVwWNjNR","TRUE",81,"outoftime","white","10+0",1726,1388,"C41","Philidor Defense",5,10
"DNUmSBH4","TRUE",46,"resign","black","10+0",1735,1806,"D80","Gruenfeld Defense",6,10
"Tlng5eqN","TRUE",70,"mate","black","10+0",1597,1728,"C00","French Defense: Knight Variation",3,10
"wljkejE0","TRUE",39,"resign","white","10+0",1743,1738,"C10","French Defense: Rubinstein Variation |  Fort Knox Variation",10,10
"iNZuj8bY","TRUE",91,"resign","white","10+0",1721,1750,"D30","Queen's Gambit Declined: Traditional Variation",7,10
"Kan2JKOp","TRUE",137,"outoftime","white","10+0",1746,1487,"D20","Queen's Gambit Accepted: Old Variation",5,10
"bCUwPEJ7","TRUE",46,"resign","black","10+0",1744,1735,"C02","French Defense: Advance Variation |  Paulsen Attack",9,10
"zTwM10Si","TRUE",18,"resign","black","10+0",1749,1631,"D41","Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5",9,10
"PBQ5Il7e","TRUE",28,"resign","black","10+0",1769,1396,"D20","Queen's Gambit Accepted: Old Variation",5,10
"7NKtCk3B","TRUE",111,"mate","white","15+0",1729,1795,"D31","Queen's Gambit Declined: Queen's Knight Variation",5,15
"TMtvbg3w","TRUE",54,"mate","black","10+0",1795,1784,"C64","Ruy Lopez: Classical Variation",6,10
"0OXPfTEt","TRUE",33,"resign","white","10+0",1770,1872,"D02","Queen's Pawn Game: Zukertort Variation",3,10
"YzMf40DM","TRUE",90,"resign","black","10+0",1783,1721,"D02","Queen's Pawn Game: London System",5,10
"q3NHAFFp","TRUE",90,"resign","black","10+0",1884,1768,"C64","Ruy Lopez: Classical Variation |  Central Variation",7,10
"Gz7Icasx","TRUE",40,"mate","black","10+0",1756,1756,"C24","Bishop's Opening: Ponziani Gambit",5,10
"3n4poRIX","TRUE",49,"outoftime","white","8+0",1724,1958,"A43","Benoni Defense: Benoni-Indian Defense |  Kingside Move Order",5,8
"XRuQPSzH","TRUE",50,"resign","black","10+0",2036,1706,"A08","King's Indian Attack: French Variation",6,10
"XPZikam7","TRUE",59,"mate","white","10+0",1706,925,"D02","Queen's Pawn Game: London System",5,10
"5SNh53F9","TRUE",26,"outoftime","black","15+15",1244,1219,"B00","Nimzowitsch Defense: Mikenas Variation",4,15
"ezdEKpqG","TRUE",23,"mate","white","15+15",1215,921,"C50","Italian Game",5,15
"WyQjriEX","TRUE",118,"mate","black","15+15",1350,1201,"B03","Alekhine Defense #2",5,15
"vAOIY0jj","TRUE",66,"mate","black","15+15",1210,1280,"B29","Sicilian Defense: Nimzowitsch Variation",4,15
"gHld9WSr","TRUE",120,"draw","draw","15+15",1139,1212,"C50","Four Knights Game: Italian Variation",8,15
"dh2xQb3X","TRUE",36,"mate","black","15+15",1220,1341,"C57","Italian Game: Two Knights Defense |  Fried Liver Attack",11,15
"TKwuIzb6","TRUE",26,"mate","black","15+15",1234,1359,"C55","Italian Game: Anti-Fried Liver Defense",6,15
"s752sCLr","TRUE",62,"resign","black","15+15",1275,1236,"C57","Italian Game: Two Knights Defense |  Fried Liver Attack",11,15
"lKYmVLZt","TRUE",37,"resign","white","15+15",1433,1282,"B02","Alekhine Defense: Maroczy Variation",3,15
"dRhehsEy","TRUE",24,"resign","black","15+15",1132,1276,"D06","Queen's Gambit Refused: Marshall Defense",4,15
"ahwTovI0","TRUE",37,"resign","black","15+15",1228,1266,"B02","Alekhine Defense: Two Pawn Attack |  Lasker Variation",7,15
"fgK91ojo","TRUE",24,"resign","black","15+15",1273,1409,"B13","Caro-Kann Defense: Exchange Variation",5,15
"Cmhkui8U","TRUE",9,"resign","white","15+15",1338,1277,"D00","Queen's Pawn Game #2",3,15
"TRpFAEWd","TRUE",47,"mate","white","15+15",1263,1336,"B57","Sicilian Defense: Modern Variations |  Main Line",8,15
"btHFH9xr","TRUE",85,"mate","white","15+15",1316,1273,"A20","English Opening: King's English Variation",2,15
"G9xaiPFl","TRUE",39,"mate","white","15+15",1248,1253,"B00","Goldsmith Defense",2,15
"RkMlSx4r","TRUE",58,"mate","black","15+15",1335,1233,"E20","Nimzo-Indian Defense",6,15
"Z1CTghfR","TRUE",95,"mate","white","15+15",1223,1189,"C57","Italian Game: Two Knights Defense |  Fried Liver Attack",11,15
"X4QqWp8Q","TRUE",2,"resign","black","15+15",1443,1204,"B02","Alekhine Defense",2,15
"R6dF4yRx","TRUE",97,"mate","white","15+15",1227,1216,"D06","Queen's Gambit Refused: Marshall Defense",4,15
"PLxCc87r","TRUE",12,"draw","draw","15+15",1215,1219,"C50","Italian Game",5,15
"p7a4FGwp","TRUE",30,"resign","white","15+15",1227,1227,"C50","Four Knights Game: Italian Variation",8,15
"3udM9T6k","TRUE",43,"mate","white","10+0",1550,1225,"E11","Bogo-Indian Defense: Exchange Variation",8,10
"hkMNenrh","TRUE",11,"resign","white","15+15",1325,1234,"B02","Alekhine Defense",2,15
"jrmlULM0","TRUE",72,"mate","black","15+15",1212,1221,"B02","Alekhine Defense: Saemisch Attack",5,15
"JbLparSt","TRUE",156,"mate","black","15+15",1226,1478,"C40","King's Knight Opening",3,15
"mqZFkCf3","TRUE",18,"resign","black","25+0",1228,1626,"D30","Queen's Gambit Declined",4,25
"V16nc5AF","TRUE",35,"resign","white","15+15",1186,1223,"C28","Vienna Game: Vienna Gambit",5,15
"GT8TdRlm","TRUE",85,"mate","white","15+15",1212,1212,"B06","Modern Defense",2,15
"2P2u5f63","TRUE",50,"resign","black","15+15",1228,1343,"B01","Scandinavian Defense: Panov Transfer",6,15
"15nlkNRf","TRUE",111,"resign","white","10+10",1865,1862,"A46","Yusupov-Rubinstein System",5,10
"1zRjgcqm","TRUE",73,"resign","white","15+0",1833,1863,"A56","Benoni Defense",4,15
"vfnLULoh","TRUE",125,"resign","white","15+0",1851,1918,"B27","Sicilian Defense: Hyperaccelerated Dragon",4,15
"ut6LIGPI","TRUE",76,"resign","black","15+0",1861,1844,"C55","Italian Game: Anti-Fried Liver Defense",6,15
"1KbSJtjs","TRUE",65,"outoftime","white","10+0",1853,1774,"C65","Ruy Lopez: Berlin Defense #2",6,10
"cqrATt9o","TRUE",41,"mate","white","10+0",1910,1862,"B90","Sicilian Defense: Najdorf |  Lipnitsky Attack",11,10
"deKfSOPy","TRUE",59,"resign","white","10+0",1851,1890,"C00","French Defense: Knight Variation",3,10
"vQ1psjxd","TRUE",70,"resign","black","15+5",1860,1840,"B50","Sicilian Defense: Delayed Alapin",5,15
"k1qV5HHz","TRUE",34,"resign","white","25+25",1828,1848,"B51","Sicilian Defense: Canal-Sokolsky Attack",5,25
"QQ3iIM2V","TRUE",69,"outoftime","white","8+0",1855,1858,"E00","Amar Opening",1,8
"GppFo58m","TRUE",63,"resign","white","10+10",1847,1895,"C70","Ruy Lopez: Morphy Defense |  Classical Defense Deferred",8,10
"BoDJGVyk","TRUE",107,"resign","white","10+10",1885,1856,"B50","Sicilian Defense",4,10
"3eLsB99C","TRUE",100,"outoftime","black","15+0",1840,1837,"B22","Sicilian Defense: Alapin Variation",3,15
"yrQWTJVz","TRUE",44,"resign","black","15+0",1860,1820,"C00","French Defense: Knight Variation",3,15
"aF6DiZZe","TRUE",40,"outoftime","black","10+0",1854,1849,"A45","Paleface Attack",3,10
"0dm3RaQv","TRUE",105,"outoftime","white","10+0",1895,1859,"B50","Sicilian Defense",4,10
"BxxAvvER","TRUE",50,"resign","black","15+0",1866,1965,"B31","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation",6,15
"oaKcGCrO","TRUE",69,"resign","black","15+0",1877,1860,"C61","Ruy Lopez: Bird Variation",6,15
"A7ddojjI","TRUE",107,"draw","draw","15+5",1866,1835,"C55","Italian Game: Two Knights Defense |  Modern Bishop's Opening",7,15
"SGqoxO3v","TRUE",117,"mate","white","15+0",1856,1829,"C78","Ruy Lopez: Morphy Defense #2",12,15
"pHJ5zXyE","TRUE",44,"resign","white","10+0",1845,1846,"C70","Ruy Lopez: Morphy Defense |  Classical Defense Deferred",8,10
"WqMvA7iE","TRUE",40,"resign","black","15+0",1834,1835,"B30","Sicilian Defense: Old Sicilian",4,15
"s3v6jMaX","TRUE",59,"resign","white","15+5",1846,1845,"B10","Caro-Kann Defense",2,15
"PHYPEO42","TRUE",30,"resign","black","15+0",1858,1790,"B01","Scandinavian Defense: Mieses-Kotroc Variation",4,15
"NgZ8xxFe","TRUE",54,"resign","black","10+0",1871,1847,"B30","Sicilian Defense: Old Sicilian",4,10
"1ZeBVc5V","TRUE",69,"resign","black","10+0",1846,1869,"C41","Philidor Defense",5,10
"OmwDxZpJ","TRUE",178,"mate","black","16+0",1843,1836,"B22","Sicilian Defense: Alapin Variation",3,16
"JewxmuG9","TRUE",136,"resign","black","15+0",1800,1826,"B20","Sicilian Defense",2,15
"t7vvcwqO","TRUE",96,"resign","black","10+4",1290,1270,"A00","Hungarian Opening",1,10
"igSDFKv0","TRUE",53,"outoftime","white","12+0",1331,1281,"D00","Queen's Pawn Game #3",4,12
"facMwkUo","TRUE",39,"mate","white","10+0",1304,1292,"A00","Van't Kruijs Opening",1,10
"j5KY62yS","TRUE",10,"mate","black","10+0",1305,1293,"C00","French Defense: Normal Variation",3,10
"nyYULwUl","TRUE",51,"mate","white","10+0",1308,1317,"C22","Center Game: Berger Variation",8,10
"h0YsGMhj","TRUE",18,"resign","black","15+0",1296,1305,"C54","Italian Game: Giuoco Piano |  Greco's Attack",13,15
"QurxyQkA","TRUE",73,"mate","white","15+1",1409,1297,"C70","Ruy Lopez: Morphy Defense |  Caro Variation",8,15
"mJ9VpdxV","TRUE",159,"mate","white","15+1",1280,1485,"C55","Italian Game: Anti-Fried Liver Defense",6,15
"dFQ5D7CS","TRUE",112,"mate","black","10+0",1281,1765,"C41","Philidor Defense #4",6,10
"2FpFvoMt","TRUE",104,"resign","black","15+1",1288,1454,"C42","Petrov's Defense",4,15
"cywOBEY5","TRUE",40,"mate","black","15+1",1560,1270,"D07","Queen's Gambit Refused: Chigorin Defense #2",5,15
"pnU8dLUx","TRUE",44,"mate","black","15+1",1274,1534,"B27","Sicilian Defense: Jalalabad Variation",4,15
"lE65efFF","TRUE",150,"draw","draw","15+1",1259,1663,"C55","Italian Game: Anti-Fried Liver Defense",6,15
"bCVL4bZl","TRUE",60,"mate","black","10+0",1614,1238,"D02","Queen's Pawn Game: London System",5,10
"WUyPeYW8","TRUE",37,"mate","white","10+0",1221,1417,"C02","French Defense: Advance Variation |  Milner-Barry Gambit",11,10
"xRY7h8aS","TRUE",88,"outoftime","black","10+0",1222,1732,"B32","Sicilian Defense: Open #3",7,10
"92UGyHOr","TRUE",113,"mate","white","10+0",1232,1234,"C68","Ruy Lopez: Exchange Variation",7,10
"UqxaqU7R","TRUE",55,"mate","white","20+5",1240,1219,"C42","Russian Game: Damiano Variation |  Kholmov Gambit",8,20
"TTzZc8gW","TRUE",135,"mate","white","10+0",1590,1600,"A22","English Opening: Carls-Bremen System",5,10
"F7oADKYb","TRUE",137,"draw","draw","10+0",1568,1617,"C50","Italian Game",5,10
"GoYkQEoS","TRUE",97,"outoftime","white","10+0",1500,1358,"C46","Four Knights Game",6,10
"VVkKGe4E","TRUE",91,"resign","white","20+10",1377,1249,"B01","Scandinavian Defense: Mieses-Kotroc Variation",4,20
"11VaOez1","TRUE",53,"resign","white","9+0",1375,1389,"C20","King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit",4,9
"2akR3Bit","TRUE",49,"mate","white","10+2",1378,1361,"C41","Philidor Defense",5,10
"mG2dEz4z","TRUE",48,"mate","black","10+2",1261,1371,"B07","King's Pawn Game: Maroczy Defense",4,10
"xrZnbIGD","TRUE",20,"resign","black","10+9",1380,1429,"B30","Sicilian Defense: Old Sicilian",4,10
"lOU3lddA","TRUE",87,"mate","white","10+0",1369,1368,"C42","Russian Game: Damiano Variation",6,10
"xYEVgk0W","TRUE",11,"resign","white","10+0",1290,1371,"C77","Ruy Lopez: Morphy Defense |  Mackenzie Variation",9,10
"QnXuc72h","TRUE",110,"draw","draw","15+3",1372,1326,"B00","St. George Defense",2,15
"3ZfA3gFa","TRUE",23,"resign","white","15+15",1217,1399,"A22","English Opening: King's English Variation |  Two Knights Variation",4,15
"WoOqoYEL","TRUE",81,"mate","white","15+30",1387,1447,"C60","Ruy Lopez",5,15
"ZctgRAt4","TRUE",103,"mate","white","15+2",1377,1351,"C41","Philidor Defense #2",4,15
"hVSNfLer","TRUE",46,"mate","black","8+0",1395,1378,"C50","Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation",9,8
"5sEcA5zs","TRUE",31,"resign","white","10+3",1360,1332,"B00","Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted",5,10
"rb7lq7dT","TRUE",38,"resign","black","15+15",1245,1346,"D20","Queen's Gambit Accepted: Old Variation",5,15
"hfNJtVnd","TRUE",105,"resign","white","9+2",1336,1287,"A07","King's Indian Attack: Keres Variation #2",4,9
"voV4ekhS","TRUE",110,"resign","black","8+0",1426,1527,"C00","French Defense: Knight Variation",3,8
"VUCRbEm8","TRUE",48,"resign","black","15+0",1557,1547,"C70","Ruy Lopez: Morphy Defense |  Caro Variation",8,15
"AUzK1bj8","TRUE",177,"outoftime","white","10+3",1535,1609,"C58","Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line",11,10
"R5SfPQiB","TRUE",114,"mate","black","10+2",1713,1558,"A00","Hungarian Opening: Indian Defense",2,10
"VXdhNTk5","TRUE",57,"resign","white","10+2",1497,1730,"B00","Owen Defense",2,10
"8hlHAFPF","TRUE",70,"resign","black","10+0",1355,1478,"C55","Italian Game: Two Knights Defense |  Modern Bishop's Opening",7,10
"BwBDbyKq","TRUE",97,"mate","white","10+0",1638,1614,"C55","Italian Game: Anti-Fried Liver Defense",6,10
"HYMGpINp","TRUE",48,"mate","black","8+0",1776,1587,"D00","Queen's Pawn Game",2,8
"L9UeFctE","TRUE",77,"mate","white","15+0",1568,1593,"C10","French Defense: Marshall Variation",6,15
"DbYHY9Bc","TRUE",80,"resign","black","15+0",1605,1546,"B01","Scandinavian Defense: Icelandic-Palme Gambit",6,15
"7fftvkF6","TRUE",35,"resign","white","8+0",1518,1709,"B00","Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted",5,8
"IlQp1eqc","TRUE",33,"resign","white","10+0",1728,1527,"D31","Semi-Slav Defense: Noteboom Variation",8,10
"atgsbOBS","TRUE",87,"mate","white","10+0",1515,1379,"B01","Scandinavian Defense: Mieses-Kotroc Variation",4,10
"Kx4jd1Oo","TRUE",40,"resign","black","10+0",1538,1501,"B06","Robatsch (Modern) Defense",4,10
"5vg0pHEg","TRUE",54,"resign","black","10+0",1511,1516,"D30","Queen's Gambit Declined",4,10
"5uNNVd3c","TRUE",67,"resign","black","10+0",1464,1495,"C69","Ruy Lopez: Exchange Variation |  Normal Variation",9,10
"aGVLNoTY","TRUE",21,"mate","white","10+0",1470,1475,"C40","King's Pawn Game: Damiano Defense",4,10
"W4eyc9dH","TRUE",14,"mate","black","10+0",1490,1440,"C50","Italian Game: Schilling-Kostic Gambit",6,10
"eRHQGmr2","TRUE",72,"outoftime","black","10+0",1611,1945,"E20","Nimzo-Indian Defense: Ragozin Variation",8,10
"D45fTp2y","TRUE",62,"resign","black","10+0",1584,1611,"A31","English Opening: Symmetrical Variation |  Anti-Benoni Variation",5,10
"lTOKfWMv","TRUE",48,"resign","black","10+0",1942,1611,"A00","Van't Kruijs Opening",1,10
"sd7oPNum","TRUE",6,"outoftime","black","10+2",1217,1611,"C46","Four Knights Game",6,10
"xLmd5oZZ","TRUE",69,"draw","draw","20+0",1611,2059,"D46","Semi-Slav Defense: Chigorin Defense",12,20
"T3gAyyeH","TRUE",72,"resign","white","15+15",1611,1478,"B27","Sicilian Defense: Quinteros Variation",4,15
"HDPjH5bD","TRUE",40,"mate","black","15+15",1486,1552,"C44","King's Pawn Game: Dresden Opening",5,15
"cFSW3SMi","TRUE",29,"mate","white","15+15",1453,1496,"B06","Modern Defense",2,15
"wsNnVC6Y","TRUE",44,"resign","white","15+15",1340,1326,"A40","English Defense #2",2,15
"UxvU6EN4","TRUE",59,"mate","white","10+0",1532,1500,"C00","French Defense: Steinitz Attack",3,10
"mjXUQnww","TRUE",115,"resign","white","10+0",1560,1557,"C34","King's Gambit Accepted |  Fischer Defense",6,10
"lC84DiKq","TRUE",70,"resign","black","10+0",1571,1577,"A03","Bird Opening: Dutch Variation",2,10
"A17jdHS8","TRUE",36,"resign","black","10+0",1580,1617,"A03","Bird Opening",2,10
"t5ixT6HN","TRUE",83,"resign","white","10+0",1531,1593,"C46","Four Knights Game: Gunsberg Variation",7,10
"8uZRNw8n","TRUE",99,"draw","draw","10+0",1449,1597,"C48","Four Knights Game: Ranken Variation",9,10
"vwQzM7Sg","TRUE",43,"resign","white","10+0",1743,1604,"C34","King's Gambit Accepted |  Schallopp Defense",6,10
"I4zyNfPo","TRUE",89,"resign","white","10+0",1604,1614,"C48","Four Knights Game: Spanish Variation |  Classical Variation",8,10
"6eQ92lsE","TRUE",96,"resign","black","10+0",1550,1605,"D00","Queen's Pawn Game: Mason Attack",3,10
"jVXtr42v","TRUE",65,"resign","white","25+5",1790,1874,"A00","Polish Opening",1,25
"ZXM2sX4y","TRUE",81,"resign","white","25+5",1864,1805,"B24","Sicilian Defense: Closed Variation |  Fianchetto Variation",5,25
"UFKSc5hH","TRUE",45,"resign","black","25+5",1496,1861,"A45","Indian Game: Tartakower Attack",3,25
"jhA7bDVC","TRUE",52,"resign","white","25+5",1851,1853,"C67","Ruy Lopez: Berlin Defense |  Rio Gambit Accepted",8,25
"vc2eo2Sh","TRUE",51,"resign","white","10+0",1861,1863,"B11","Caro-Kann Defense",4,10
"WgPBuJD6","TRUE",48,"draw","draw","10+0",1618,1609,"C00","French Defense: Knight Variation",3,10
"WtFUCKgj","TRUE",20,"resign","black","10+0",1620,1607,"A00","Van't Kruijs Opening",1,10
"EQDn1BA7","TRUE",50,"mate","black","10+0",1621,1496,"B30","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack",5,10
"AbDhfpnX","TRUE",98,"resign","black","10+0",1633,1581,"C41","Philidor Defense #3",5,10
"Ger5Zno3","TRUE",106,"mate","black","10+0",1623,1623,"C60","Ruy Lopez: Cozio Defense",6,10
"JHH8PcNq","TRUE",19,"resign","white","10+0",1612,1614,"C50","Italian Game",5,10
"8Ie5Oesp","TRUE",22,"resign","white","10+0",1605,1624,"C50","Italian Game: Giuoco Pianissimo |  Normal",8,10
"HN5jnzyI","TRUE",114,"draw","draw","10+0",1693,1621,"E61","Indian Game: West Indian Defense",4,10
"GRAng26s","TRUE",69,"resign","black","10+0",1631,1684,"B50","Sicilian Defense",4,10
"TaaLCuw6","TRUE",34,"mate","black","10+0",1636,1619,"C53","Italian Game: Classical Variation |  Closed Variation",8,10
"R2JFua6L","TRUE",40,"mate","black","10+0",1613,1617,"C57","Italian Game: Two Knights Defense |  Traxler Counterattack",8,10
"LcPvndOa","TRUE",108,"resign","black","10+0",1627,1495,"C50","Italian Game: Hungarian Defense",6,10
"oWSctoZp","TRUE",27,"resign","white","10+0",1480,1643,"C23","Bishop's Opening",3,10
"m793jf7F","TRUE",63,"resign","white","10+0",1631,1652,"B30","Sicilian Defense: Nyezhmetdinov-Rossolimo Attack",5,10
"UaulsArt","TRUE",31,"resign","white","10+0",1687,1641,"C44","Ponziani Opening",5,10
"EL3LK94E","TRUE",71,"resign","white","10+0",1630,1638,"C55","Italian Game: Anti-Fried Liver Defense",6,10
"PcXdgcJJ","TRUE",92,"mate","black","10+0",1414,1624,"C60","Ruy Lopez: Cozio Defense",6,10
"XGG3VNC9","TRUE",47,"mate","white","10+0",1619,1419,"C57","Italian Game: Two Knights Defense |  Knight Attack",7,10
"n1hgevhj","TRUE",56,"resign","black","10+0",1629,1659,"C42","Petrov's Defense #2",5,10
"q5P7mAB4","TRUE",48,"resign","white","10+0",1649,1639,"C23","Bishop's Opening",3,10
"sl4N6t22","TRUE",124,"resign","black","10+0",1677,1627,"A00","Polish Opening",1,10
"DhoFXYNH","TRUE",49,"mate","white","10+0",1705,1636,"C45","Scotch Game: Classical Variation",8,10
"q6FmC8Id","TRUE",64,"resign","black","10+0",1647,1635,"B96","Sicilian Defense: Najdorf Variation",13,10
"2CvZyh4h","TRUE",29,"resign","white","10+0",1637,1627,"C53","Italian Game: Classical Variation #2",7,10
"Psin3ost","TRUE",45,"resign","white","10+0",1626,1631,"C50","Italian Game",5,10
"AaSSYIy6","TRUE",96,"resign","black","10+0",1602,1615,"C34","King's Gambit Accepted |  Fischer Defense",6,10
"0lWtXgXo","TRUE",92,"resign","black","10+0",1634,1603,"C23","Bishop's Opening",3,10
"IC0EFtA5","TRUE",40,"mate","black","10+0",1611,1591,"C50","Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation",9,10
"L8gPU593","TRUE",123,"mate","white","10+0",1579,1623,"C54","Italian Game: Giuoco Piano |  Aitken Variation",19,10
"0PVGpBvD","TRUE",129,"mate","white","10+0",1995,1581,"A05","King's Indian Attack: Symmetrical Defense",4,10
